,Unnamed: 0_daily,TICKER,Date,Daily_Return,month_key,SP500_Return,VIX_Close,public_date,de_ratio,ptb,debt_assets,inv_turn,at_turn,rect_turn,cash_ratio,pe_inc,gpm,roe,roa,cfm,cash_debt,permno,Unnamed: 0_monthly,PERMNO,tentativeSICCD,starting_date,end_date,correct_siccd,start_of_month,end_of_month
1166,23369,AAPL,2014-09-19,-0.008154276707012,2014-09,-0.00047726958102545236,12.109999656677246,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1167,23370,AAPL,2014-09-22,0.0009907486156455,2014-09,-0.00801332329681892,13.6899995803833,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1168,23371,AAPL,2014-09-23,0.0156341002582869,2014-09,-0.0057765015647701645,14.930000305175781,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1169,23372,AAPL,2014-09-24,-0.0086710834961599,2014-09,0.00783249148610099,13.270000457763672,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1170,23373,AAPL,2014-09-25,-0.0381327184186112,2014-09,-0.016168772358634453,15.640000343322754,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1171,23374,AAPL,2014-09-26,0.0294268139104807,2014-09,0.008575824615237426,14.850000381469727,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1172,23375,AAPL,2014-09-29,-0.0063523527235468,2014-09,-0.002546802239196233,15.979999542236328,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1173,23376,AAPL,2014-09-30,0.0063929630799794,2014-09,-0.002785928622506484,16.309999465942383,2014-09-30,0.741,4.189,0.426,55.813,0.828,9.077,0.859,4.056,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-09-01,2014-09-30
1174,23377,AAPL,2014-10-01,-0.0155830206608602,2014-10,-0.013248560995234304,16.709999084472656,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1175,23378,AAPL,2014-10-02,0.0072596628802983,2014-10,5.143341477165109e-06,16.15999984741211,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1176,23379,AAPL,2014-10-03,-0.0028029452427943,2014-10,0.0111655096821337,14.550000190734863,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1177,23380,AAPL,2014-10-06,0.0,2014-10,-0.0015651598591330806,15.460000038146973,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1178,23381,AAPL,2014-10-07,-0.0087330643724198,2014-10,-0.015126053030587783,17.200000762939453,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1179,23382,AAPL,2014-10-08,0.0207591817449721,2014-10,0.017461650296527242,15.109999656677246,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1180,23383,AAPL,2014-10-09,0.0021825782451403,2014-10,-0.02066141501469354,18.760000228881836,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1181,23384,AAPL,2014-10-10,-0.0028707924785594,2014-10,-0.011451012338901223,21.239999771118164,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1182,23385,AAPL,2014-10-13,-0.0091331239374992,2014-10,-0.016467929557809624,24.639999389648438,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1183,23386,AAPL,2014-10-14,-0.0106200433097282,2014-10,0.0015788647774723774,22.790000915527344,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1184,23387,AAPL,2014-10-15,-0.0122530292568939,2014-10,-0.008100314924121665,25.270000457763672,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1185,23388,AAPL,2014-10-16,-0.013122807209184,2014-10,0.0001449777086941495,25.200000762939453,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
1186,23389,AAPL,2014-10-17,0.0146475128676328,2014-10,0.012884107385910504,21.989999771118164,2014-10-31,0.741,4.489,0.426,55.813,0.828,9.077,0.859,4.348,0.428,0.272,0.282,0.26,0.643,14593,2612,14593,3571,2010-01-04,,3571,2014-10-01,2014-10-31
